Row	BroodID	PopID	BreedingSeason	Species	Plot	LocationID	FemaleID	MaleID	ClutchType_observed	ClutchType_calculated	LayDate	LayDateError	ClutchSize	ClutchSizeError	HatchDate	HatchDateError	BroodSize	BroodSizeError	FledgeDate	FledgeDateError	NumberFledged	NumberFledgedError	AvgEggMass	NumberEggs	AvgChickMass	NumberChicksMass	AvgTarsus	NumberChicksTarsus	ExperimentID
8094	2016_ava_7_1	MUR	2016	CYACAE	ava	ava_7_NB	7532423	7717546	first	first	03/04/2016	NA	7	NA	21/04/2016	NA	7	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA
8095	2016_ari_20_1	MUR	2016	CYACAE	ari	ari_20_NB	7532434	6990258	first	first	06/04/2016	NA	8	NA	26/04/2016	NA	8	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA
8096	2016_pir_103_1	PIR	2016	CYACAE	pir	pir_103_NB	7532700	7208401	first	first	06/05/2016	NA	6	NA	24/05/2016	NA	6	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA
8097	2016_mur_34_1	MUR	2016	CYACAE	mur	mur_34_NB	7532767	7208496	first	first	09/04/2016	NA	8	NA	30/04/2016	NA	8	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA
8098	2016_ari_7_1	MUR	2016	CYACAE	ari	ari_7_NB	7532895	6990982	first	replacement	21/04/2016	NA	7	NA	09/05/2016	NA	7	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA
8099	2016_pir_138_1	PIR	2016	CYACAE	pir	pir_138_NB	7532906	7531292	first	first	10/05/2016	NA	5	NA	27/05/2016	NA	5	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA
8100	2016_rou_351_1	ROU	2016	CYACAE	rou	rou_351_NB	7715230	6989944	first	first	01/04/2016	NA	11	NA	27/04/2016	NA	10	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
8101	2016_rou_314_1	ROU	2016	CYACAE	rou	rou_314_NB	7715232	7532381	first	first	12/04/2016	NA	10	NA	04/05/2016	NA	8	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
8102	2016_rou_47_1	ROU	2016	CYACAE	rou	rou_47_NB	7715248	7209982	first	first	02/04/2016	NA	10	NA	28/04/2016	NA	8	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA
8103	2016_rou_184_1	ROU	2016	CYACAE	rou	rou_184_NB	7715301	6988828	first	first	31/03/2016	NA	12	NA	26/04/2016	NA	9	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA
